iter	RMSE
0	15927.29833
1	15053.0619
2	14272.20215
3	13559.16285
4	12889.0718
5	12267.40234
6	11735.31803
7	11207.96253
8	10747.48602
9	10341.36832
10	9966.598698
11	9608.14417
12	9299.497099
13	9016.707044
14	8768.446086
15	8537.728572
16	8331.428306
17	8140.446491
18	7968.182839
19	7809.716112
20	7661.54934
21	7532.873041
22	7424.98068
23	7323.270077
24	7223.287603
25	7139.253852
26	7063.919117
27	6990.275171
28	6921.883536
29	6859.029509
30	6805.765443
31	6749.827705
32	6703.063007
33	6657.280492
34	6618.405007
35	6585.811165
36	6550.921092
37	6523.76914
38	6496.715552
39	6471.381041
40	6446.341966
41	6424.374989
42	6401.828703
43	6381.513846
44	6361.60808
45	6344.812776
46	6324.571195
47	6307.463549
48	6292.481867
49	6279.656993
50	6270.721336
51	6252.758065
52	6240.122348
53	6229.403516
54	6216.988873
55	6205.881464
56	6196.968734
57	6184.034821
58	6171.010796
59	6162.822274
60	6156.011883
61	6146.789291
62	6139.407072
63	6132.394553
64	6127.34149
65	6120.524512
66	6111.63387
67	6103.473662
68	6096.019515
69	6092.431399
70	6085.895318
71	6079.21379
72	6074.009339
73	6065.413455
74	6055.507407
75	6048.255519
76	6039.680998
77	6035.036657
78	6029.808377
79	6024.531354
80	6020.403844
81	6013.443531
82	6006.879882
83	6002.02553
84	5997.539096
85	5991.531086
86	5986.149457
87	5980.296653
88	5976.652364
89	5969.710185
90	5965.026857
91	5958.587538
92	5952.650903
93	5950.221548
94	5941.524886
95	5934.189835
96	5929.204961
97	5921.702882
98	5915.728321
99	5911.818518
100	5907.881611
101	5902.344227
102	5899.626913
103	5895.037705
104	5887.837885
105	5885.677018
106	5879.480464
107	5875.394937
108	5870.881806
109	5867.527457
110	5862.464778
111	5860.044562
112	5857.401569
113	5850.090534
114	5845.169513
115	5842.41821
116	5840.429214
117	5837.856033
118	5834.508934
119	5832.422587
120	5827.659499
121	5824.877369
122	5822.130102
123	5817.506507
124	5812.770441
125	5810.031624
126	5806.32833
127	5803.840469
128	5801.558338
129	5799.383101
130	5795.344562
131	5793.291817
132	5790.208406
133	5788.857641
134	5784.83505
135	5782.101005
136	5779.681114
137	5776.295513
138	5773.979978
139	5771.246552
140	5767.951202
141	5763.262823
142	5760.518909
143	5758.838172
144	5756.52447
145	5751.222314
146	5749.033403
147	5742.927747
148	5739.22797
149	5736.52445
150	5734.052857
151	5730.552062
152	5727.093109
153	5725.000294
154	5719.387124
155	5716.552173
156	5712.51836
157	5709.252391
158	5705.13596
159	5703.675575
160	5699.503342
161	5694.681425
162	5691.690248
163	5689.950295
164	5687.028227
165	5684.786497
166	5682.562544
167	5680.093536
168	5676.447605
169	5675.067303
170	5672.897615
171	5670.492137
172	5668.44255
173	5665.317208
174	5661.15062
175	5657.921782
176	5653.309633
177	5650.312527
178	5647.879524
179	5646.245254
180	5643.256414
181	5639.73106
182	5635.646906
183	5633.782634
184	5631.618441
185	5629.188481
186	5627.350469
187	5625.191062
188	5623.10609
189	5621.757709
190	5619.638268
