iter	Passed	Remaining
0	6	6694
1	9	4966
2	13	4504
3	16	4181
4	20	4114
5	24	4039
6	27	3953
7	31	3865
8	35	3889
9	38	3860
10	42	3814
11	45	3784
12	49	3742
13	53	3733
14	56	3710
15	59	3688
16	63	3662
17	66	3640
18	70	3650
19	74	3638
20	77	3614
21	80	3585
22	84	3610
23	88	3591
24	92	3590
25	95	3585
26	99	3582
27	103	3583
28	106	3572
29	110	3569
30	113	3559
31	117	3559
32	121	3553
33	124	3543
34	128	3539
35	132	3536
36	135	3537
37	139	3532
38	143	3527
39	146	3520
40	150	3519
41	154	3515
42	157	3508
43	161	3502
44	164	3497
45	168	3494
46	172	3489
47	175	3481
48	178	3473
49	182	3466
50	185	3457
51	189	3450
52	192	3447
53	196	3440
54	200	3440
55	204	3454
56	209	3462
57	213	3460
58	216	3457
59	220	3455
60	224	3451
61	228	3453
62	231	3447
63	235	3444
64	238	3437
65	242	3435
66	246	3430
67	249	3426
68	253	3422
69	257	3417
70	260	3412
71	264	3407
72	268	3407
73	271	3402
74	275	3400
75	279	3392
76	282	3388
77	286	3382
78	289	3377
79	293	3373
80	296	3366
81	300	3364
82	304	3361
83	307	3354
84	311	3354
85	315	3352
86	319	3350
87	322	3346
88	326	3341
89	329	3336
90	333	3334
91	337	3329
92	341	3326
93	344	3320
94	348	3319
95	352	3317
96	355	3312
97	359	3307
98	363	3303
99	366	3302
100	370	3296
101	373	3292
102	377	3285
103	381	3283
104	384	3278
105	388	3272
106	392	3273
107	395	3268
108	399	3265
109	402	3260
110	406	3255
111	410	3251
112	413	3244
113	417	3241
114	420	3237
115	424	3234
116	428	3230
117	431	3227
118	435	3222
119	438	3218
120	442	3213
121	445	3208
122	449	3203
123	453	3201
124	457	3200
125	460	3197
126	464	3195
127	468	3191
128	471	3186
129	475	3184
130	479	3181
131	483	3180
132	487	3175
133	490	3172
134	494	3169
135	498	3166
136	502	3162
137	505	3157
138	508	3152
139	513	3151
140	516	3148
141	520	3145
142	524	3144
143	528	3139
144	532	3137
145	535	3134
146	539	3130
147	543	3126
148	547	3124
149	550	3121
150	554	3116
151	557	3112
152	562	3113
153	565	3108
154	569	3105
155	573	3100
156	576	3094
157	580	3094
158	584	3090
159	587	3085
160	591	3081
161	594	3077
162	599	3077
163	603	3074
164	607	3073
165	611	3069
166	615	3070
167	619	3067
168	623	3065
169	627	3061
170	631	3062
171	635	3059
172	639	3056
173	644	3058
174	649	3061
175	653	3060
176	658	3059
177	663	3061
178	667	3061
179	671	3061
180	676	3062
181	682	3065
182	686	3066
183	691	3066
184	696	3069
185	701	3069
186	706	3069
187	710	3070
188	716	3072
189	720	3072
190	725	3073
191	731	3076
192	735	3076
193	740	3074
194	745	3077
195	749	3076
196	754	3074
197	759	3075
198	764	3076
199	769	3076
200	774	3077
201	779	3079
202	783	3077
203	788	3075
204	793	3075
205	798	3076
206	803	3077
207	808	3077
208	813	3078
209	818	3077
210	823	3078
211	828	3077
212	832	3076
213	836	3073
214	840	3070
215	846	3070
216	850	3068
217	855	3068
218	860	3068
219	864	3066
220	869	3064
221	873	3061
222	878	3062
223	883	3059
224	887	3058
225	893	3059
226	897	3056
227	901	3053
228	906	3052
229	911	3052
230	915	3048
231	920	3045
232	924	3043
233	930	3044
234	934	3042
235	939	3040
236	944	3039
237	948	3037
238	953	3035
239	958	3034
240	963	3033
241	968	3033
242	973	3031
243	978	3031
244	983	3031
245	989	3031
246	994	3031
247	1000	3032
248	1005	3031
249	1010	3032
250	1016	3032
251	1021	3031
252	1026	3030
253	1031	3028
254	1035	3026
255	1040	3025
256	1048	3031
257	1055	3034
258	1063	3043
259	1071	3049
260	1081	3062
261	1088	3066
262	1097	3076
263	1103	3076
264	1121	3109
265	1136	3137
266	1162	3192
267	1168	3190
268	1182	3213
269	1188	3212
270	1194	3212
271	1198	3208
272	1203	3205
273	1209	3203
274	1213	3199
275	1218	3195
276	1223	3192
277	1228	3191
278	1234	3190
279	1239	3188
280	1245	3186
281	1250	3183
282	1256	3182
283	1261	3180
284	1266	3177
285	1271	3174
286	1277	3173
287	1282	3169
288	1286	3165
289	1292	3165
290	1297	3162
291	1303	3159
292	1308	3157
293	1313	3154
294	1318	3150
295	1323	3147
296	1328	3144
297	1332	3139
298	1337	3136
299	1342	3132
300	1346	3127
301	1351	3123
302	1356	3119
303	1360	3115
304	1365	3110
305	1369	3105
306	1373	3101
307	1379	3098
308	1384	3096
309	1390	3094
310	1395	3090
311	1400	3087
312	1405	3084
313	1411	3082
314	1416	3079
315	1421	3076
316	1426	3073
317	1430	3068
318	1436	3066
319	1441	3062
320	1446	3060
321	1451	3056
322	1457	3055
323	1463	3053
324	1468	3049
325	1474	3047
326	1479	3044
327	1484	3041
328	1491	3041
329	1497	3039
330	1502	3036
331	1508	3035
332	1514	3032
333	1519	3030
334	1524	3027
335	1530	3024
336	1535	3020
337	1541	3019
338	1546	3015
339	1552	3013
340	1557	3010
341	1562	3007
342	1567	3002
343	1575	3004
344	1581	3002
345	1588	3002
346	1594	2999
347	1599	2997
348	1607	2997
349	1612	2994
350	1618	2991
351	1624	2990
352	1629	2986
353	1635	2984
354	1641	2982
355	1648	2981
356	1655	2981
357	1662	2981
358	1671	2984
359	1678	2984
360	1685	2983
361	1694	2987
362	1703	2989
363	1710	2988
364	1715	2984
365	1722	2984
366	1732	2988
367	1741	2990
368	1747	2988
369	1759	2995
370	1772	3005
371	1784	3012
372	1795	3018
373	1807	3024
374	1816	3026
375	1823	3026
376	1833	3029
377	1851	3046
378	1860	3048
379	1867	3046
380	1873	3043
381	1878	3038
382	1883	3034
383	1889	3030
384	1894	3025
385	1900	3023
386	1905	3018
387	1910	3012
388	1915	3008
389	1919	3002
390	1923	2996
391	1928	2990
392	1932	2984
393	1936	2978
394	1941	2973
395	1946	2968
396	1951	2963
397	1955	2958
398	1960	2952
399	1965	2948
400	1970	2943
401	1974	2937
402	1979	2932
403	1985	2928
404	1990	2923
405	1995	2919
406	2000	2914
407	2004	2908
408	2008	2902
409	2013	2897
410	2018	2892
411	2022	2886
412	2027	2881
413	2032	2876
414	2037	2871
415	2042	2867
416	2047	2862
417	2052	2857
418	2057	2852
419	2061	2847
420	2066	2842
421	2071	2837
422	2076	2833
423	2083	2829
424	2087	2824
425	2093	2820
426	2098	2816
427	2103	2811
428	2108	2807
429	2114	2802
430	2119	2798
431	2124	2793
432	2130	2789
433	2135	2784
434	2140	2780
435	2146	2776
436	2151	2771
437	2156	2766
438	2162	2763
439	2167	2758
440	2172	2753
441	2178	2750
442	2183	2745
443	2188	2740
444	2193	2735
445	2198	2730
446	2203	2725
447	2207	2720
448	2212	2715
449	2217	2709
450	2221	2704
451	2226	2699
452	2231	2693
453	2235	2688
454	2239	2683
455	2244	2677
456	2249	2673
457	2254	2667
458	2258	2661
459	2263	2657
460	2268	2652
461	2273	2647
462	2278	2642
463	2283	2638
464	2288	2633
465	2293	2628
466	2299	2624
467	2304	2619
468	2309	2614
469	2314	2610
470	2319	2605
471	2324	2600
472	2330	2596
473	2334	2590
474	2339	2585
475	2344	2581
476	2350	2576
477	2355	2571
478	2360	2567
479	2366	2563
480	2371	2558
481	2377	2554
482	2383	2551
483	2389	2547
484	2395	2543
485	2401	2539
486	2406	2535
487	2415	2534
488	2420	2529
489	2426	2525
490	2433	2522
491	2437	2516
492	2443	2512
493	2450	2510
494	2456	2505
495	2464	2504
496	2469	2499
497	2475	2495
498	2483	2493
499	2487	2487
500	2496	2486
501	2501	2481
502	2507	2477
503	2512	2472
504	2517	2467
505	2522	2462
506	2527	2457
507	2532	2453
508	2537	2447
509	2542	2442
510	2547	2438
511	2553	2433
512	2558	2428
513	2563	2423
514	2568	2419
515	2575	2415
516	2580	2410
517	2585	2406
518	2591	2401
519	2597	2397
520	2601	2392
521	2607	2388
522	2612	2383
523	2617	2378
524	2623	2373
525	2628	2368
526	2633	2363
527	2638	2358
528	2644	2354
529	2648	2349
530	2655	2345
531	2660	2340
532	2665	2335
533	2670	2330
534	2675	2325
535	2680	2320
536	2686	2316
537	2692	2311
538	2697	2306
539	2701	2301
540	2707	2297
541	2711	2291
542	2716	2286
543	2721	2280
544	2725	2275
545	2730	2270
546	2734	2264
547	2739	2259
548	2744	2254
549	2748	2249
550	2753	2243
551	2758	2238
552	2763	2233
553	2767	2228
554	2772	2223
555	2777	2217
556	2781	2212
557	2786	2206
558	2791	2202
559	2796	2197
560	2801	2192
561	2806	2186
562	2810	2181
563	2815	2176
564	2820	2171
565	2824	2166
566	2829	2160
567	2834	2155
568	2839	2150
569	2844	2145
570	2848	2140
571	2853	2134
572	2858	2129
573	2862	2124
574	2867	2119
575	2872	2114
576	2876	2109
577	2880	2103
578	2885	2097
579	2889	2092
580	2893	2086
581	2897	2080
582	2902	2075
583	2907	2070
584	2911	2065
585	2916	2060
586	2921	2055
587	2925	2050
588	2930	2044
589	2935	2039
590	2940	2034
591	2944	2029
592	2949	2024
593	2954	2019
594	2959	2014
595	2964	2009
596	2969	2004
597	2974	1999
598	2979	1994
599	2983	1988
600	2987	1983
601	2991	1977
602	2996	1972
603	3001	1967
604	3006	1962
605	3010	1957
606	3015	1952
607	3020	1947
608	3024	1942
609	3029	1936
610	3034	1931
611	3038	1926
612	3043	1921
613	3047	1916
614	3053	1911
615	3057	1906
616	3062	1900
617	3066	1895
618	3071	1890
619	3076	1885
620	3080	1879
621	3084	1874
622	3089	1869
623	3093	1863
624	3097	1858
625	3102	1853
626	3106	1847
627	3110	1842
628	3115	1837
629	3119	1832
630	3124	1827
631	3128	1821
632	3132	1816
633	3136	1810
634	3140	1805
635	3145	1800
636	3150	1795
637	3154	1790
638	3159	1784
639	3163	1779
640	3167	1774
641	3171	1768
642	3175	1762
643	3179	1757
644	3184	1752
645	3189	1747
646	3193	1742
647	3198	1737
648	3202	1732
649	3207	1726
650	3211	1721
651	3216	1716
652	3220	1711
653	3225	1706
654	3229	1701
655	3234	1696
656	3239	1691
657	3243	1685
658	3248	1681
659	3253	1676
660	3258	1670
661	3262	1665
662	3266	1660
663	3270	1654
664	3275	1649
665	3279	1644
666	3284	1639
667	3288	1634
668	3292	1629
669	3297	1624
670	3302	1619
671	3306	1614
672	3311	1608
673	3316	1603
674	3320	1598
675	3325	1593
676	3329	1588
677	3334	1583
678	3337	1577
679	3342	1572
680	3346	1567
681	3351	1562
682	3355	1557
683	3359	1552
684	3364	1547
685	3369	1542
686	3373	1537
687	3378	1532
688	3383	1527
689	3388	1522
690	3392	1516
691	3396	1511
692	3400	1506
693	3405	1501
694	3409	1496
695	3414	1491
696	3419	1486
697	3424	1481
698	3428	1476
699	3433	1471
700	3437	1466
701	3441	1461
702	3446	1456
703	3451	1451
704	3455	1445
705	3459	1440
706	3464	1435
707	3469	1430
708	3473	1425
709	3477	1420
710	3482	1415
711	3487	1410
712	3491	1405
713	3496	1400
714	3501	1395
715	3505	1390
716	3510	1385
717	3514	1380
718	3518	1375
719	3522	1369
720	3526	1364
721	3531	1359
722	3536	1354
723	3540	1349
724	3545	1344
725	3549	1339
726	3553	1334
727	3558	1329
728	3562	1324
729	3567	1319
730	3573	1314
731	3578	1310
732	3582	1305
733	3586	1299
734	3590	1294
735	3595	1289
736	3600	1284
737	3605	1279
738	3609	1274
739	3614	1269
740	3618	1264
741	3623	1260
742	3628	1255
743	3632	1250
744	3637	1245
745	3642	1240
746	3646	1235
747	3651	1230
748	3655	1225
749	3660	1220
750	3665	1215
751	3670	1210
752	3674	1205
753	3679	1200
754	3684	1195
755	3689	1190
756	3694	1185
757	3698	1180
758	3703	1175
759	3708	1171
760	3713	1166
761	3717	1161
762	3722	1156
763	3726	1151
764	3731	1146
765	3736	1141
766	3740	1136
767	3745	1131
768	3750	1126
769	3754	1121
770	3758	1116
771	3763	1111
772	3768	1106
773	3773	1101
774	3778	1096
775	3782	1091
776	3787	1086
