brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
lamborghini,Lamborghini Huracan,red,08/2018,2018,334900,471.0,640.0,Automatic,Petrol,12.3,285 g/km,13819.0,Performante Spyder LP 640-4
audi,Audi SQ5,black,08/2018,2018,178000,260.0,354.0,Automatic,Petrol,8.3,119 g/km,18500.0,3.0 TFSI quattro/HUD/B&O/360°/Luftfed./Distr
audi,Audi RS Q8,green,04/2021,2021,139980,441.0,600.0,Automatic,Petrol,12.1,276 g/km,53617.0,Dynamikpaket+*Pano*Keramik*Carbon*AHK*
ferrari,Ferrari F8 Tributo,red,02/2021,2021,299900,530.0,721.0,Automatic,Petrol,5.1,119 g/km,2300.0,**VOLL CARBON*CARBON-SITZE*LIFT**
lamborghini,Lamborghini Aventador,black,11/2020,2020,749999,566.0,770.0,Automatic,Petrol,17.9,486 g/km,3348.0,SVJ Roadster*CARBON*SCHALE*KAMERA*LIFT
bentley,Bentley Continental,gold,05/2023,2023,317950,405.0,551.0,Automatic,Petrol,11.7,266 g/km,1923.0,GTC V8 Mulliner
ferrari,Ferrari California,white,03/2012,2012,122900,360.0,489.0,Automatic,Petrol,5.1,119 g/km,56000.0,"2+P ""DEUTSCHES FAHRZEUG"" TOP ZUSTAND"
bmw,BMW M3,red,01/2023,2023,127990,375.0,510.0,Automatic,Petrol,5.1,119 g/km,9300.0,"Touring xDrive ACC,HUD,HARMAN,KERAMIK,360,Usw"
land-rover,Land Rover Defender,white,03/2023,2023,129800,386.0,525.0,Automatic,Petrol,12.8,290 g/km,7000.0,"110 5.0 P525 V8*HEAD-UP*BLACK PACK*22"""
land-rover,Land Rover Range Rover,black,04/2023,2023,239390,390.0,530.0,Automatic,Petrol,11.7,266 g/km,10.0,P530 SWB First Edition Standheizung
lamborghini,Lamborghini Aventador,white,01/2012,2012,259700,515.0,700.0,Manual,Petrol,17.2,398 g/km,40752.0,"LP 700-4 LIFT 20""KAMERA CARBON"
bentley,Bentley Continental,black,05/2023,2023,334680,485.0,659.0,Automatic,Petrol,13.8,314 g/km,1923.0,GT  Speed *Mulliner Colour*Blackline*
aston-martin,Aston Martin DB9,black,04/2015,2015,126941,381.0,518.0,Automatic,Petrol,14.3,333 g/km,28000.0,Coupe 6.0 V12 TT -Letztes Facelift-absolut top -
ferrari,Ferrari 488,black,11/2020,2020,749900,530.0,721.0,Semi-automatic,Petrol,12.8,289 g/km,1500.0,Ferrari Singen
audi,Audi R8,white,02/2016,2016,127599,449.0,610.0,Automatic,Petrol,13.4,306 g/km,68000.0,V10 plus 5.2 FSI quattro S tronic
bmw,BMW M8,blue,03/2020,2020,109901,460.0,625.0,Automatic,Petrol,10.7,243 g/km,59383.0,COMPETITION LASER B&W CARBON-DACH DA+ PA+
bentley,Bentley Continental GT,grey,10/2019,2019,179900,467.0,635.0,Automatic,Petrol,12.2,278 g/km,47023.0,W12 Mulliner/City/Touring/Standhz
land-rover,Land Rover Range Rover,black,03/2023,2023,198390,258.0,351.0,Automatic,Diesel,8.0,207 g/km,5000.0,D350 Autobiography/AHK/StandHZ/S-Dach
